,Time_range,Value
0,0.0,855237.0
1,300.0,854409.0
2,600.0,854032.0
3,900.0,853593.0
4,1200.0,853269.0
5,1500.0,852925.0
6,1800.0,852516.0
7,2100.0,852241.0
8,2400.0,851814.0
9,2700.0,851459.0
10,3000.0,851165.0
11,3300.0,850901.0
12,3600.0,850603.0
13,3900.0,850462.0
14,4200.0,850283.0
15,4500.0,850016.0
16,4800.0,849898.0
17,5100.0,849758.0
18,5400.0,849576.0
19,5700.0,849354.0
20,6000.0,849193.0
21,6300.0,849014.0
22,6600.0,848799.0
23,6900.0,848698.0
24,7200.0,848623.0
25,7500.0,848562.0
26,7800.0,848380.0
27,8100.0,848310.0
28,8400.0,848198.0
29,8700.0,848106.0
30,9000.0,847962.0
31,9300.0,847776.0
32,9600.0,847698.0
33,9900.0,847668.0
34,10200.0,847683.0
35,10500.0,847673.0
36,10800.0,847661.0
37,11100.0,847650.0
38,11400.0,847758.0
39,11700.0,847735.0
40,12000.0,847745.0
41,12300.0,847823.0
42,12600.0,847917.0
43,12900.0,847961.0
44,13200.0,848019.0
45,13500.0,848131.0
46,13800.0,848235.0
47,14100.0,848357.0
48,14400.0,848677.0
49,14700.0,0.0
50,15000.0,0.0
51,15300.0,0.0
52,15600.0,849567.0
53,15900.0,849800.0
54,16200.0,850218.0
55,16500.0,850493.0
56,16800.0,850904.0
57,17100.0,851278.0
58,17400.0,851692.0
59,17700.0,852246.0
60,18000.0,852826.0
61,18300.0,853404.0
62,18600.0,853983.0
63,18900.0,854551.0
64,19200.0,855261.0
65,19500.0,855855.0
66,19800.0,856615.0
67,20100.0,857366.0
68,20400.0,858154.0
69,20700.0,859028.0
70,21000.0,859971.0
71,21300.0,860747.0
72,21600.0,861776.0
73,21900.0,862701.0
74,22200.0,863612.0
75,22500.0,864563.0
76,22800.0,865597.0
77,23100.0,866664.0
78,23400.0,867608.0
79,23700.0,868526.0
80,24000.0,869478.0
81,24300.0,870462.0
82,24600.0,871620.0
83,24900.0,872660.0
84,25200.0,873756.0
85,25500.0,874764.0
86,25800.0,875978.0
87,26100.0,877061.0
88,26400.0,877877.0
89,26700.0,878666.0
90,27000.0,879740.0
91,27300.0,880822.0
92,27600.0,881615.0
93,27900.0,882586.0
94,28200.0,883410.0
95,28500.0,884161.0
96,28800.0,884910.0
97,29100.0,885534.0
98,29400.0,886142.0
99,29700.0,886870.0
100,30000.0,887592.0
101,30300.0,888268.0
102,30600.0,889064.0
103,30900.0,889330.0
104,31200.0,889889.0
105,31500.0,890593.0
106,31800.0,891194.0
107,32100.0,891593.0
108,32400.0,892070.0
109,32700.0,892581.0
110,33000.0,892960.0
111,33300.0,893420.0
112,33600.0,893534.0
113,33900.0,894042.0
114,34200.0,894261.0
115,34500.0,894520.0
116,34800.0,895040.0
117,35100.0,895252.0
118,35400.0,895559.0
119,35700.0,895687.0
120,36000.0,895923.0
121,36300.0,896135.0
122,36600.0,896295.0
123,36900.0,896362.0
124,37200.0,896613.0
125,37500.0,896753.0
126,37800.0,896661.0
127,38100.0,896826.0
128,38400.0,896920.0
129,38700.0,897014.0
130,39000.0,897257.0
131,39300.0,897573.0
132,39600.0,897759.0
133,39900.0,898037.0
134,40200.0,898132.0
135,40500.0,898437.0
136,40800.0,898519.0
137,41100.0,898638.0
138,41400.0,898743.0
139,41700.0,899001.0
140,42000.0,898925.0
141,42300.0,898935.0
142,42600.0,899007.0
143,42900.0,899207.0
144,43200.0,899375.0
145,43500.0,899510.0
146,43800.0,899502.0
147,44100.0,899653.0
148,44400.0,899693.0
149,44700.0,899880.0
150,45000.0,899952.0
151,45300.0,899859.0
152,45600.0,900062.0
153,45900.0,900106.0
154,46200.0,900284.0
155,46500.0,900296.0
156,46800.0,900540.0
157,47100.0,900650.0
158,47400.0,899976.0
159,47700.0,900677.0
160,48000.0,900936.0
161,48300.0,901006.0
162,48600.0,900989.0
163,48900.0,900659.0
164,49200.0,900896.0
165,49500.0,901133.0
166,49800.0,901375.0
167,50100.0,901479.0
168,50400.0,901410.0
169,50700.0,901310.0
170,51000.0,901406.0
171,51300.0,901661.0
172,51600.0,901682.0
173,51900.0,901426.0
174,52200.0,901653.0
175,52500.0,901671.0
176,52800.0,901592.0
177,53100.0,901617.0
178,53400.0,901610.0
179,53700.0,901775.0
180,54000.0,901829.0
181,54300.0,901937.0
182,54600.0,901933.0
183,54900.0,901743.0
184,55200.0,901632.0
185,55500.0,901813.0
186,55800.0,901916.0
187,56100.0,901679.0
188,56400.0,901747.0
189,56700.0,901803.0
190,57000.0,901891.0
191,57300.0,901730.0
192,57600.0,901761.0
193,57900.0,901636.0
194,58200.0,901661.0
195,58500.0,901607.0
196,58800.0,901464.0
197,59100.0,901265.0
198,59400.0,901090.0
199,59700.0,900872.0
200,60000.0,900672.0
201,60300.0,900744.0
202,60600.0,900512.0
203,60900.0,900223.0
204,61200.0,898636.0
205,61500.0,898242.0
206,61800.0,898841.0
207,62100.0,898932.0
208,62400.0,898810.0
209,62700.0,898887.0
210,63000.0,898845.0
211,63300.0,898403.0
212,63600.0,898332.0
213,63900.0,898246.0
214,64200.0,897604.0
215,64500.0,897368.0
216,64800.0,897128.0
217,65100.0,896840.0
218,65400.0,896625.0
219,65700.0,896752.0
220,66000.0,896502.0
221,66300.0,896368.0
222,66600.0,895831.0
223,66900.0,895406.0
224,67200.0,895064.0
225,67500.0,894338.0
226,67800.0,894340.0
227,68100.0,893808.0
228,68400.0,893367.0
229,68700.0,893043.0
230,69000.0,892263.0
231,69300.0,892338.0
232,69600.0,892021.0
233,69900.0,891409.0
234,70200.0,890771.0
235,70500.0,890280.0
236,70800.0,889467.0
237,71100.0,888692.0
238,71400.0,887951.0
239,71700.0,887272.0
240,72000.0,886308.0
241,72300.0,885300.0
242,72600.0,884217.0
243,72900.0,883403.0
244,73200.0,882540.0
245,73500.0,881636.0
246,73800.0,880659.0
247,74100.0,879442.0
248,74400.0,878379.0
249,74700.0,877282.0
250,75000.0,876242.0
251,75300.0,875121.0
252,75600.0,873974.0
253,75900.0,872769.0
254,76200.0,871787.0
255,76500.0,870596.0
256,76800.0,869703.0
257,77100.0,868599.0
258,77400.0,867673.0
259,77700.0,866596.0
260,78000.0,865404.0
261,78300.0,864801.0
262,78600.0,863973.0
263,78900.0,863154.0
264,79200.0,862197.0
265,79500.0,861380.0
266,79800.0,860768.0
267,80100.0,859917.0
268,80400.0,859310.0
269,80700.0,858869.0
270,81000.0,858201.0
271,81300.0,857674.0
272,81600.0,857258.0
273,81900.0,856781.0
274,82200.0,856400.0
275,82500.0,855983.0
276,82800.0,855504.0
277,83100.0,855038.0
278,83400.0,854654.0
279,83700.0,854303.0
280,84000.0,853984.0
281,84300.0,853703.0
282,84600.0,853489.0
283,84900.0,853147.0
284,85200.0,852885.0
285,85500.0,852590.0
286,85800.0,852405.0
287,86100.0,852220.0
