Time,Value
2020-06-09 0:00:00,860541
2020-06-09 0:05:00,859958
2020-06-09 0:10:00,859707
2020-06-09 0:15:00,859525
2020-06-09 0:20:00,859247
2020-06-09 0:25:00,859025
2020-06-09 0:30:00,858793
2020-06-09 0:35:00,858578
2020-06-09 0:40:00,858389
2020-06-09 0:45:00,858207
2020-06-09 0:50:00,858025
2020-06-09 0:55:00,857810
2020-06-09 1:00:00,857616
2020-06-09 1:05:00,857553
2020-06-09 1:10:00,857527
2020-06-09 1:15:00,857404
2020-06-09 1:20:00,857303
2020-06-09 1:25:00,857189
2020-06-09 1:30:00,857095
2020-06-09 1:35:00,857085
2020-06-09 1:40:00,857059
2020-06-09 1:45:00,856975
2020-06-09 1:50:00,856915
2020-06-09 1:55:00,856845
2020-06-09 2:00:00,856872
2020-06-09 2:05:00,856928
2020-06-09 2:10:00,856923
2020-06-09 2:15:00,857018
2020-06-09 2:20:00,857166
2020-06-09 2:25:00,857347
2020-06-09 2:30:00,857577
2020-06-09 2:35:00,857797
2020-06-09 2:40:00,858048
2020-06-09 2:45:00,858347
2020-06-09 2:50:00,858700
2020-06-09 2:55:00,859170
2020-06-09 3:00:00,859767
2020-06-09 3:05:00,860420
2020-06-09 3:10:00,860984
2020-06-09 3:15:00,861711
2020-06-09 3:20:00,862401
2020-06-09 3:25:00,863109
2020-06-09 3:30:00,863968
2020-06-09 3:35:00,864843
2020-06-09 3:40:00,865620
2020-06-09 3:45:00,866318
2020-06-09 3:50:00,867159
2020-06-09 3:55:00,867904
2020-06-09 4:00:00,868996
2020-06-09 4:05:00,870155
2020-06-09 4:10:00,871284
2020-06-09 4:15:00,872423
2020-06-09 4:20:00,873651
2020-06-09 4:25:00,874917
2020-06-09 4:30:00,876266
2020-06-09 4:35:00,877710
2020-06-09 4:40:00,879044
2020-06-09 4:45:00,880494
2020-06-09 4:50:00,881997
2020-06-09 4:55:00,883343
2020-06-09 5:00:00,884742
2020-06-09 5:05:00,886193
2020-06-09 5:10:00,887569
2020-06-09 5:15:00,888966
2020-06-09 5:20:00,890342
2020-06-09 5:25:00,891720
2020-06-09 5:30:00,893110
