,Value,Min_limit,Max_limit
0,860541.0,845370.2682888798,869732.7317111202
1,859958.0,844485.063234921,869237.936765079
2,859707.0,844104.5037702557,869036.4962297443
3,859525.0,843652.530154522,868897.469845478
4,859247.0,843374.1775506531,868673.8224493469
5,859025.0,843051.6326873858,868387.3673126142
6,858793.0,842609.7235845742,868255.2764154258
7,858578.0,842258.7803535708,868246.2196464292
8,858389.0,841763.7906134984,868111.2093865016
9,858207.0,841539.2673797556,867348.7326202444
10,858025.0,841289.5255208786,867160.4744791214
11,857810.0,841023.4139569746,867161.5860430254
12,857616.0,840607.1554495675,867163.8445504325
13,857553.0,840450.1949806003,867098.8050193997
14,857527.0,840286.4828874717,867050.5171125283
15,857404.0,840033.1410017838,866874.8589982162
16,857303.0,839954.1932124671,866754.8067875329
17,857189.0,839795.3958306349,866655.6041693651
18,857095.0,839615.4270077678,866563.5729922322
19,857085.0,839296.4753623145,866622.5246376855
20,857059.0,839077.230022597,866642.769977403
21,856975.0,838785.7462977349,866792.2537022651
22,856915.0,838556.0150545909,866769.9849454091
23,856845.0,838523.9567751439,866627.0432248561
24,856872.0,838433.6567455668,866670.3432544332
25,856928.0,838330.4199027113,866736.5800972887
26,856923.0,838231.2325045946,866863.7674954054
27,857018.0,838142.2419107372,867061.7580892628
28,857166.0,837986.5239885472,867448.4760114528
29,857347.0,837896.9725976227,867867.0274023773
30,857577.0,837707.5435164736,868477.4564835264
31,857797.0,837585.1121409687,869127.8878590313
32,858048.0,837447.4960950848,869650.5039049152
33,858347.0,837496.1327231782,870272.8672768218
34,858700.0,837560.973989972,871000.026010028
35,859170.0,837501.403531933,871989.596468067
36,859767.0,837440.5425944563,873190.4574055437
37,860420.0,837345.480487324,874590.519512676
38,860984.0,837342.7228746811,875607.2771253189
39,861711.0,837159.9499363588,877189.0500636412
40,862401.0,836986.4563875893,878700.5436124107
41,863109.0,836999.7725387623,880128.2274612377
42,863968.0,836891.8377497017,881901.1622502983
43,864843.0,836713.9634575127,883673.0365424873
44,865620.0,836592.4408287172,885298.5591712828
45,866318.0,836538.5535211277,886892.4464788723
46,867159.0,836366.9147938959,888781.0852061041
47,867904.0,836313.1039819288,890497.8960180712
48,868996.0,836424.2619049234,892603.7380950766
49,870155.0,-435120.37178450683,2166429.371784507
50,871284.0,-435683.68497819034,2169081.6849781903
51,872423.0,-436251.71704834304,2172116.7170483433
52,873651.0,835868.007870811,902188.992129189
53,874917.0,835697.0151873758,904783.9848126242
54,876266.0,835744.352089094,907532.647910906
55,877710.0,835534.3835292319,910557.6164707681
56,879044.0,835596.2394620213,913261.7605379787
57,880494.0,835494.2038365244,916254.7961634756
58,881997.0,835392.0325977791,918932.9674022209
59,883343.0,835618.7679141533,921448.2320858467
60,884742.0,835878.9229093469,924437.0770906531
61,886193.0,836129.0092324432,927626.9907675568
62,887569.0,836361.7574932049,930355.2425067951
63,888966.0,836564.499564338,932969.500435662
64,890342.0,836974.4049121229,935304.5950878771
65,891720.0,837190.9916295038,937872.0083704962
66,893110.0,837682.8058350392,940388.1941649608
67,894410.0,838208.9832297806,942501.0167702194
68,895575.0,838848.4791334589,944232.5208665411
69,896492.0,839750.0667993518,945798.9332006482
70,897627.0,840604.3854509217,947115.6145490783
71,898881.0,841108.0865481205,948400.9134518795
72,899903.0,842154.1961602872,949638.8038397128
73,900777.0,843149.9337162521,950582.0662837479
74,901714.0,844073.1632579644,951632.8367420356
75,902539.0,845111.987535428,952376.012464572
76,903222.0,846380.1059038269,953049.8940961731
77,903982.0,847604.9977137027,953453.0022862973
78,904849.0,848606.7757138284,954165.2242861716
79,905799.0,849490.0392660984,954828.9607339016
80,906556.0,850587.3401119013,955640.6598880987
81,907577.0,851558.6456543022,956519.3543456978
82,908444.0,852848.5992521554,956934.4007478446
83,909227.0,854007.3276976903,957273.6723023097
84,910058.0,855231.48065478,957724.51934522
85,910646.0,856475.5796469301,957995.4203530699
86,911332.0,857945.418083797,957623.581916203
87,912127.0,859144.2732061925,957816.7267938075
88,912768.0,860052.7351552709,958366.2648447291
89,913297.0,860997.2465335486,958773.7534664514
90,913940.0,862286.0142252841,958733.9857747159
91,914573.0,863609.6876795886,958814.3123204114
92,915167.0,864500.4132084346,959103.5867915654
93,915534.0,865794.4783194168,958815.5216805832
94,916119.0,866733.537307624,958993.462692376
95,916715.0,867542.5786402338,958987.4213597662
96,917257.0,868412.5621644894,959493.4378355106
97,917859.0,869065.0793170624,960088.9206829376
98,918336.0,869741.4378688027,960247.5621311973
99,918629.0,870700.840382578,960135.159617422
100,918989.0,871603.8115230659,959982.1884769341
101,919364.0,872442.1852054582,959998.8147945418
102,919699.0,873478.4105264086,959738.5894735914
103,920096.0,873697.3763092208,960306.6236907792
104,920319.0,874438.4349367833,960266.5650632167
105,920693.0,875292.3298151857,959869.6701848143
106,921085.0,875993.6421678531,959901.3578321469
107,921219.0,876548.7100131235,959918.2899868765
108,921719.0,876995.6760517947,960073.3239482053
109,921886.0,877691.430677359,959944.569322641
110,922171.0,878127.5907197396,960182.4092802604
111,922444.0,878657.2958670761,959909.7041329239
112,922641.0,878731.4986501577,960222.5013498423
113,922770.0,879455.5582846268,960141.4417153732
114,922975.0,879709.9232755621,960675.0767244379
115,923238.0,879954.0357814436,960805.9642185564
116,923367.0,880687.5681364058,960659.4318635942
117,923563.0,880911.2492408511,960852.7507591489
118,923815.0,881230.5451601609,960819.4548398391
119,923910.0,881379.8778910147,960942.1221089853
120,923970.0,881726.5500510912,961045.4499489088
121,924431.0,881782.3928496685,961476.6071503315
122,924572.0,881934.836272354,961364.163727646
123,924608.0,882009.4681700671,961219.5318299329
124,924833.0,882257.1072506332,961230.8927493668
125,924886.0,882441.4948710791,961210.5051289209
126,925193.0,882128.2827766757,961805.7172233243
127,925260.0,882359.7182194995,961911.2817805005
128,925362.0,882453.5040790567,962067.4959209433
129,925397.0,882574.340146353,962009.659853647
130,925589.0,882845.4935596752,962150.5064403248
131,925671.0,883296.6115233896,962089.3884766104
132,925815.0,883497.9108288557,962122.0891711443
133,925726.0,883989.9718920582,961895.0281079418
134,925726.0,884141.9995113232,961903.0004886768
135,925766.0,884578.8778807225,961518.1221192775
136,925698.0,884780.9481456126,961867.0518543874
137,925733.0,884947.0458625535,961877.9541374465
138,925803.0,885066.3390077206,961863.6609922794
139,925843.0,885422.6384829992,961408.3615170008
140,925719.0,885396.9020991295,961576.0979008705
141,925713.0,885413.1612690485,961521.8387309515
142,925543.0,885619.854507257,961225.145492743
143,925503.0,885947.584969311,960983.415030689
144,925602.0,886146.6155266841,960960.3844733159
145,926036.0,886120.7278445548,961607.2721554452
146,926195.0,885992.2139670756,961504.7860329244
147,926224.0,886181.8956572218,961120.1043427782
148,926340.0,-463632.6325653137,2286515.632565314
149,926016.0,886651.3727553375,960597.6272446625
150,925735.0,886923.6987465954,960132.3012534046
151,925765.0,886767.0761193803,960361.9238806197
152,925756.0,887077.4838971479,960092.5161028521
