,Time,Value,Min_limit,Max_limit
0,2020-06-11 18:20:00,920897.0,891489.9627952486,920411.0372047514
1,2020-06-11 18:25:00,920512.0,891559.0282379935,919747.9717620065
2,2020-06-11 18:30:00,920203.0,890840.1339541066,919864.8660458934
3,2020-06-11 18:35:00,919999.0,890307.007195161,919805.992804839
4,2020-06-11 18:40:00,919687.0,889951.5584853782,919296.4415146218
5,2020-06-11 18:45:00,919627.0,889015.2574370304,919445.7425629696
6,2020-06-11 18:50:00,919282.0,889292.8954247081,918633.1045752919
7,2020-06-11 18:55:00,919133.0,888669.4688917582,918436.5311082418
8,2020-06-11 19:00:00,918658.0,888202.5461343784,917925.4538656216
9,2020-06-11 19:05:00,917968.0,887875.2407646988,917347.7592353012
10,2020-06-11 19:10:00,917312.0,887013.0567369906,917204.9432630094
11,2020-06-11 19:15:00,916911.0,887364.0677500557,915935.9322499443
12,2020-06-11 19:20:00,916447.0,887106.4215204477,915161.5784795523
13,2020-06-11 19:25:00,915850.0,886469.1870510268,914649.8129489732
14,2020-06-11 19:30:00,915023.0,885872.7667483104,913894.2332516896
15,2020-06-11 19:35:00,914311.0,885503.7651900842,912861.2348099158
16,2020-06-11 19:40:00,913674.0,884707.5910483366,912187.4089516634
17,2020-06-11 19:45:00,913069.0,883874.9627155208,911373.0372844792
18,2020-06-11 19:50:00,912381.0,883127.4207531975,910658.5792468025
19,2020-06-11 19:55:00,911597.0,882545.4210411564,909521.5789588436
20,2020-06-11 20:00:00,910862.0,881612.3674046261,908715.6325953739
21,2020-06-11 20:05:00,910107.0,880441.0506055196,908189.9493944804
22,2020-06-11 20:10:00,909274.0,879256.9931798223,907702.0068201777
23,2020-06-11 20:15:00,908457.0,878553.8320179585,906408.1679820415
24,2020-06-11 20:20:00,907436.0,877751.3252573243,905267.6747426757
25,2020-06-11 20:25:00,906356.0,876899.386103341,903829.613896659
26,2020-06-11 20:30:00,905161.0,875955.2466659445,902480.7533340555
27,2020-06-11 20:35:00,904024.0,874655.5936195743,901423.4063804257
28,2020-06-11 20:40:00,902923.0,873617.141946812,900311.858053188
29,2020-06-11 20:45:00,901647.0,872437.2088865796,899251.7911134204
30,2020-06-11 20:50:00,900437.0,871466.9452067353,898400.0547932647
31,2020-06-11 20:55:00,899489.0,870247.1279062943,897391.8720937057
32,2020-06-11 21:00:00,898197.0,869060.3617479225,895960.6382520775
33,2020-06-11 21:05:00,896922.0,867925.9644664816,894605.0355335184
34,2020-06-11 21:10:00,895787.0,866992.1670577455,893485.8329422545
35,2020-06-11 21:15:00,894721.0,865714.5444110461,892436.4555889539
36,2020-06-11 21:20:00,893732.0,864910.7503702202,891415.2496297798
37,2020-06-11 21:25:00,892769.0,863778.8738568889,890556.1261431111
38,2020-06-11 21:30:00,891717.0,862923.1926783746,889325.8073216254
39,2020-06-11 21:35:00,890535.0,861811.3530846182,888207.6469153818
40,2020-06-11 21:40:00,889405.0,860560.6802337554,887693.3197662446
41,2020-06-11 21:45:00,888469.0,860095.1281110212,886417.8718889788
42,2020-06-11 21:50:00,887518.0,859284.0208365199,885571.9791634801
43,2020-06-11 21:55:00,886664.0,858481.4561022489,884906.5438977511
44,2020-06-11 22:00:00,885609.0,857536.4066533042,883825.5933466958
45,2020-06-11 22:05:00,884864.0,856717.0528060149,882982.9471939851
46,2020-06-11 22:10:00,883962.0,856134.1335194649,882017.8664805351
47,2020-06-11 22:15:00,883041.0,855258.347456576,881493.652543424
48,2020-06-11 22:20:00,882358.0,854664.6638353716,880997.3361646284
49,2020-06-11 22:25:00,881659.0,854256.1217991787,880025.8782008213
50,2020-06-11 22:30:00,881094.0,853535.6477708542,879589.3522291458
51,2020-06-11 22:35:00,880451.0,853093.0305697443,879000.9694302557
52,2020-06-11 22:40:00,879797.0,852851.7846519742,878191.2153480258
53,2020-06-11 22:45:00,879288.0,852416.0446489753,877550.9553510247
54,2020-06-11 22:50:00,878775.0,852070.2857522184,876818.7142477816
55,2020-06-11 22:55:00,878338.0,851621.6857220026,876454.3142779974
56,2020-06-11 23:00:00,877845.0,851162.0215995049,876069.9784004951
57,2020-06-11 23:05:00,877391.0,850664.7352486114,875624.2647513886
58,2020-06-11 23:10:00,876837.0,850295.4225064917,875097.5774935083
59,2020-06-11 23:15:00,876600.0,849937.6826216738,874785.3173783262
60,2020-06-11 23:20:00,876222.0,849643.8692001583,874340.1307998417
61,2020-06-11 23:25:00,875836.0,849385.0898560219,873915.9101439781
62,2020-06-11 23:30:00,875473.0,849150.6350480559,873460.3649519441
63,2020-06-11 23:35:00,875158.0,848817.5488844914,873288.4511155086
64,2020-06-11 23:40:00,874924.0,848551.2569287437,873095.7430712563
65,2020-06-11 23:45:00,874691.0,848209.9259186713,872980.0740813287
66,2020-06-11 23:50:00,874369.0,848045.5827863656,872714.4172136344
67,2020-06-11 23:55:00,874179.0,847866.1654666795,872148.8345333205
68,2020-06-12 00:00:00,873838.0,845370.2682888798,869732.7317111202
69,2020-06-12 00:05:00,873417.0,844485.063234921,869237.936765079
70,2020-06-12 00:10:00,873207.0,844104.5037702557,869036.4962297443
71,2020-06-12 00:15:00,873029.0,843652.530154522,868897.469845478
72,2020-06-12 00:20:00,872901.0,843374.1775506531,868673.8224493469
73,2020-06-12 00:25:00,872736.0,843051.6326873858,868387.3673126142
74,2020-06-12 00:30:00,872597.0,842609.7235845742,868255.2764154258
75,2020-06-12 00:35:00,872472.0,842258.7803535708,868246.2196464292
76,2020-06-12 00:40:00,872289.0,841763.7906134984,868111.2093865016
77,2020-06-12 00:45:00,872062.0,841539.2673797556,867348.7326202444
78,2020-06-12 00:50:00,871915.0,841289.5255208786,867160.4744791214
79,2020-06-12 00:55:00,871735.0,841023.4139569746,867161.5860430254
80,2020-06-12 01:00:00,871539.0,840607.1554495675,867163.8445504325
81,2020-06-12 01:05:00,871433.0,840450.1949806003,867098.8050193997
82,2020-06-12 01:10:00,871235.0,840286.4828874717,867050.5171125283
83,2020-06-12 01:15:00,871067.0,840033.1410017838,866874.8589982162
84,2020-06-12 01:20:00,870977.0,839954.1932124671,866754.8067875329
85,2020-06-12 01:25:00,870845.0,839795.3958306349,866655.6041693651
86,2020-06-12 01:30:00,870638.0,839615.4270077678,866563.5729922322
87,2020-06-12 01:35:00,870660.0,839296.4753623145,866622.5246376855
88,2020-06-12 01:40:00,870543.0,839077.230022597,866642.769977403
89,2020-06-12 01:45:00,870454.0,838785.7462977349,866792.2537022651
90,2020-06-12 01:50:00,870463.0,838556.0150545909,866769.9849454091
91,2020-06-12 01:55:00,870472.0,838523.9567751439,866627.0432248561
92,2020-06-12 02:00:00,870421.0,838433.6567455668,866670.3432544332
93,2020-06-12 02:05:00,870455.0,838330.4199027113,866736.5800972887
94,2020-06-12 02:10:00,870528.0,838231.2325045946,866863.7674954054
95,2020-06-12 02:15:00,870611.0,838142.2419107372,867061.7580892628
96,2020-06-12 02:20:00,870701.0,837986.5239885472,867448.4760114528
97,2020-06-12 02:25:00,870929.0,837896.9725976227,867867.0274023773
98,2020-06-12 02:30:00,871086.0,837707.5435164736,868477.4564835264
99,2020-06-12 02:35:00,871283.0,837585.1121409687,869127.8878590313
100,2020-06-12 02:40:00,871459.0,837447.4960950848,869650.5039049152
101,2020-06-12 02:45:00,871822.0,837496.1327231782,870272.8672768218
102,2020-06-12 02:50:00,872039.0,837560.973989972,871000.026010028
103,2020-06-12 02:55:00,872495.0,837501.403531933,871989.596468067
104,2020-06-12 17:45:00,925738.0,892593.7122649538,925214.2877350462
105,2020-06-12 17:50:00,925522.0,891746.8519657819,924773.1480342181
106,2020-06-12 17:55:00,925215.0,891685.4884435517,924394.5115564483
107,2020-06-12 18:00:00,924739.0,891515.1561232026,923854.8438767974
108,2020-06-12 18:05:00,924304.0,891248.0601368162,923141.9398631838
109,2020-06-12 18:10:00,924105.0,891101.0498524036,922588.9501475964
110,2020-06-12 18:15:00,923714.0,891614.2676333186,921291.7323666814
111,2020-06-12 18:20:00,923431.0,891489.9627952486,920411.0372047514
112,2020-06-12 18:25:00,923015.0,891559.0282379935,919747.9717620065
113,2020-06-12 18:30:00,922552.0,890840.1339541066,919864.8660458934
114,2020-06-12 18:35:00,922282.0,890307.007195161,919805.992804839
115,2020-06-12 18:40:00,922098.0,889951.5584853782,919296.4415146218
116,2020-06-12 18:45:00,921816.0,889015.2574370304,919445.7425629696
117,2020-06-12 18:50:00,921226.0,889292.8954247081,918633.1045752919
118,2020-06-12 18:55:00,920820.0,888669.4688917582,918436.5311082418
119,2020-06-12 19:00:00,920474.0,888202.5461343784,917925.4538656216
120,2020-06-12 19:05:00,920117.0,887875.2407646988,917347.7592353012
121,2020-06-12 19:10:00,919573.0,887013.0567369906,917204.9432630094
122,2020-06-12 19:15:00,919297.0,887364.0677500557,915935.9322499443
123,2020-06-12 19:20:00,919014.0,887106.4215204477,915161.5784795523
124,2020-06-12 19:25:00,918325.0,886469.1870510268,914649.8129489732
125,2020-06-12 19:30:00,917764.0,885872.7667483104,913894.2332516896
126,2020-06-12 19:35:00,917175.0,885503.7651900842,912861.2348099158
127,2020-06-12 19:40:00,916547.0,884707.5910483366,912187.4089516634
128,2020-06-12 19:45:00,915956.0,883874.9627155208,911373.0372844792
129,2020-06-12 19:50:00,915314.0,883127.4207531975,910658.5792468025
130,2020-06-12 19:55:00,914485.0,882545.4210411564,909521.5789588436
131,2020-06-12 20:00:00,913637.0,881612.3674046261,908715.6325953739
132,2020-06-12 20:05:00,913076.0,880441.0506055196,908189.9493944804
133,2020-06-12 20:10:00,912080.0,879256.9931798223,907702.0068201777
134,2020-06-12 20:15:00,911307.0,878553.8320179585,906408.1679820415
135,2020-06-12 20:20:00,910189.0,877751.3252573243,905267.6747426757
136,2020-06-12 20:25:00,909189.0,876899.386103341,903829.613896659
137,2020-06-12 20:30:00,908070.0,875955.2466659445,902480.7533340555
138,2020-06-12 20:35:00,906596.0,874655.5936195743,901423.4063804257
139,2020-06-12 20:40:00,905703.0,873617.141946812,900311.858053188
140,2020-06-12 20:45:00,904572.0,872437.2088865796,899251.7911134204
141,2020-06-12 20:50:00,903394.0,871466.9452067353,898400.0547932647
142,2020-06-12 20:55:00,902284.0,870247.1279062943,897391.8720937057
143,2020-06-12 21:00:00,900860.0,869060.3617479225,895960.6382520775
144,2020-06-12 21:05:00,899545.0,867925.9644664816,894605.0355335184
145,2020-06-12 21:10:00,898184.0,866992.1670577455,893485.8329422545
146,2020-06-12 21:15:00,895993.0,865714.5444110461,892436.4555889539
